x,y,radius,avg_depth_meters
352,218,29,0.6781384439359268
350,212,28,0.6808174837566451
350,214,24,0.6767187751813054
358,210,30,0.6414257158292814
358,212,30,0.6417470141150923
360,212,30,0.6351542669584245
362,216,31,0.6154639798488666
362,216,32,0.6157746870653685
362,216,32,0.6129897959183673
364,218,32,0.5940483496048349
364,218,33,0.5913677895708352
370,208,35,0.5460047206923682
370,208,36,0.539030291697831
374,210,36,0.5188145191942227
